snumat-id,formula,HSE,GGA
SM-18442,Au4Cl16P4,3.469807,2.292197
SM-18018,Au2Rb2Cl8,3.189251,1.9725059999999999
SM-13652,Tl2Au2Cl8,2.702188,1.682988
SM-18224,Au4S4Cl20,2.889338,1.788290999999999
SM-18457,Au4Cl28S4,2.040331,1.364708
SM-18365,Au4Cl28Se4,2.000111,1.341639
SM-17287,Au2Cl14Te2,2.554817,1.413294
SM-18345,Au4Cl32P4,3.078426,1.880329
SM-11051,Au2Co2Na8O10,3.543667,1.877402
SM-11052,Au2Co2Na8O10,3.539867,1.875187
SM-13653,Au1Cr1S2,1.415449999999999,0.472664
SM-1805,Cs2Au2F8,4.459158,2.509354
SM-17288,Cs2Au2I6,1.086566,0.7323069999999999
SM-18483,Cs1Au1I4O12,3.505704,2.195937
SM-4959,Au4Cs4K8O8,3.363109,2.155882
SM-3007,Au4Cs4O4,2.546282,1.340368
SM-18020,Cs2Au2S2,2.79537,1.8644500000000002
SM-18021,Cs2Au2Se2,2.615133,1.708963
SM-16090,Cs2Au2Te2,1.9038970000000002,1.2194909999999999
SM-11053,Au4Cs8S16P4,3.013155,1.996937
SM-18172,Au2Ge8Cs6,1.312369999999999,0.9304390000000001
SM-19937,Cs6Au2O2,2.3979369999999998,1.4121569999999999
SM-13654,Au2Cs6Sn8,1.032374,0.7187839999999991
SM-17289,Au2Cu2F10,3.1159,1.355353
SM-17290,Au2Se8Cu2,0.523343,0.038203999999999995
SM-13655,Au2Sb2P4F24,5.122403999999999,3.697095
SM-11054,Au1Xe2Sb2F12,2.085015,0.521172
SM-11055,Au1F16H4Sb2,3.215507,0.893057
SM-1806,K2Au2F8,4.388847,2.431872
SM-20399,Au4Li4F16,4.14487,2.195804
SM-2226,Li4Au4F16,4.178861,2.227163
SM-1808,Na2Au2F8,4.054888,2.129366
SM-1809,Rb2Au2F8,4.487896,2.520906
SM-888,Au8F40,2.749379,0.867788
SM-2290,Au1K1F6,4.076593,2.106869
SM-1810,Li1Au1F6,3.961682,2.020094
